series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,67,1608,1632,2013-04-11 00:00:00,2013-04-11 23:00:00,8ea994ff904a7124,71,14,target,target,0.027092328295111656,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,68,1632,1656,2013-04-12 00:00:00,2013-04-12 23:00:00,7b41f58434b51241,71,14,target,target,0.026694899424910545,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,69,1656,1680,2013-04-15 00:00:00,2013-04-15 23:00:00,2de62f823a78dc3d,71,14,target,target,0.02576695941388607,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,70,1680,1704,2013-04-16 00:00:00,2013-04-16 23:00:00,9649b18dc84c8408,71,14,target,target,0.028344450518488884,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,71,1704,1728,2013-04-17 00:00:00,2013-04-17 23:00:00,3e736668b3237a97,71,14,target,target,0.02766268141567707,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,72,1728,1752,2013-04-18 00:00:00,2013-04-18 23:00:00,3ff10f605f210a65,71,14,target,target,0.02863651141524315,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,73,1752,1776,2013-04-19 00:00:00,2013-04-19 23:00:00,ecf6d0c474c6f297,71,14,target,target,0.02665417641401291,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,74,1776,1800,2013-04-22 00:00:00,2013-04-22 23:00:00,4c3c267acca68b2e,71,14,target,target,0.026825526729226112,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,75,1800,1824,2013-04-23 00:00:00,2013-04-23 23:00:00,dd245345ec7b8c18,71,14,target,target,0.02751149982213974,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,76,1824,1848,2013-04-24 00:00:00,2013-04-24 23:00:00,6093cdeeab1826f6,71,14,target,target,0.027167577296495438,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,77,1848,1872,2013-04-25 00:00:00,2013-04-25 23:00:00,12cabe0e0062dfaa,71,14,target,target,0.027603132650256157,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,78,1872,1896,2013-04-26 00:00:00,2013-04-26 23:00:00,03306a2ee340a5e2,71,14,target,target,0.026955168694257736,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,79,1896,1920,2013-04-29 00:00:00,2013-04-29 23:00:00,37cb675774489403,71,14,target,target,0.028471073135733604,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,80,1920,1944,2013-04-30 00:00:00,2013-04-30 23:00:00,8190d4503c25fe9b,71,14,target,known_future:apparent_temp,0.028428586199879646,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,81,1944,1968,2013-05-01 00:00:00,2013-05-01 23:00:00,2af95b0e64c99446,71,14,target,target,0.029580188915133476,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
